id,ind_text,tgt_text
indolem-train-1972,"kamar kotor, bantal bau, dinding kayak lembab, kamar mandi kotor","Bilik ngêi, batêa kêmon, kêt awêi lêmbêb, kamar mêndai ngêi"
emot-train-2379,"Gua baru sadar, hampir di setiap panti punya kucing liar yg selalu di rawat atau di ajak main sama anak2 panti. Dan gua juga baru sadar ternyata itu bentuk ungkapan kasih sayang anak2 panti terhadap sesama.","Uku pêi sadar,gesea tip panti ade kucing liyêa dv slalu nêrawat jano najok gabok ngen anok2 panti,uku kulo pêi sadar ternyato do o betuk mêlêi kasih sayang anok2 panti ngen sêsamo"
emot-train-796,[USERNAME] min pengajuan reksa dana saya di setujui tgl 28/05. Kok gk dapat voucher gift card. Cek email pun tdk ad [URL],[USERNAME] min pengajuan reksa dana ku bisetuju tgl 28/05. Gêmnê coa dapêt voucher gift card. Cek email kulo coa si nê [URL] 
emot-train-2369,"Kemarin sore dapat customer yang order grabcar [USERNAME] , dia minta untuk mengantarkan nasi kotak untuk orang tuanya dirumah,dan alhamdulillah saya diberi nasi kotak juga untuk berbuka puasa. Semoga rejekinya dilancarkan ya Mas. Cc : [USERNAME] [URL]","Pêlbêak lêbêak dapêt planggan dê mêsên grabcar [USERNAME] , si minoi utuk nêmbês mêi kutak utk tun tuainê nak umêak,Alhamdullah uku nêlêi mêi kutak kuloutuk buko puaso.smugo jêrkainê nêlacêa au bang. Cc : [USERNAME] [URL] "
indolem-train-3499,selama menggunakan airy rooms ini airy paling mengecewakan 1. wifi g connect ke kamar 2. pintu kamar mandi ga bs di tutup kalau tidak di kunci dr dalam 3. ac netes mulu/bocor 4. shower harus di pegang ga bs di taroh tempatnya 5 INI yang parah LISTRIK KAMAR MATI karena abs pulsa listriknya tp responnya kurang tanggap nih ga ada inisiatif cepet,Slamo makêi Bilik Airy dio Airy dê paling mênêa kciwo 1.wifi coa nyambung moi bilik 2.bang kamar mêndai coa nam tênutup amên coa knucai kuni lêm 3.ac têtik bae/bocor 4.shower harus nêgong coa nam nêpek nak pnannê 5.dio dê parah LISTRIK BILIK COA IDUP kerno abis pulsa listrik nê tapi responnê ku ang tênangêp ba coa ade inisiatif gacang
indolem-test-184,Assiiiikkkk ada RANS di @Pesbukers_antv1! Serasi bgt Ki Dalang @RaffiAhmadLagi & Sinden @Lady6igi pake baju merah-merah bergairah.. :D,Assiiiikkkk ade RANS nak @Pesbukers_antv1! Cocok nyên Ki Dalang @RaffiAhmadigai& Sinden @Lady6igi makêi bajau mêilêak bergairah.. :D
indolem-train-1291,"Sprei kusam, untuk 1 kasur pakai 2 sprei yang di sambung. Selimut tua banyak sobeknya kloset kotor westafel macet. Banyak kecoanya. Kasur banyak kutunya setiap pagi sampe sore berisik dari lantai atasnya","Sprai bi bu uk,utuk do kasua makêi duai sprai snamung.slimut an bi dau sêgit wc ngêi wastafel macet.Dau lepes nê.kasua dau tumai tip pueng sapêi pêlbêak go ok kuni tikêt das"
emot-train-1039,"Bisa mencium bau tanah kering yang abis kesiram air ujan itu adalah definisi kebahagiaan tersendiri. Alhamdulillah hujan, yang meski cuma sebentar hari ini.","Nam sêmnok mon pitok kê ing bi sudo kêno ujên o adeba kesnangan dewek.Alhamdulillah ujên, kadêak Cuma têgoa bilai yo."
indolem-test-308,Duh @RaffiAhmadLagi kenapa ya buru-buru gini? @Lady6igi http://bit.ly/M-transtv,Duh @RaffiAhmadgidong gêntai gêgulut barêak yo? @Lady6igi http://bit.ly/M-transtv
indolem-train-1846,"kasur kotor, wc aroma tidak sedap, tidak ada pengharum ruangan, seperti tidak di rawat, cat tembok terkelupas, bed cover kotor, keran tidak bisa, tapi saya tidak tau apakah kamar selai. itu berbeda. saya harap segera di perbaiki apa yang mestinya butuh di perbaiki.","Kasua ngêi,wc kêmon usuk,coa ade pengharum ruangan,awêi coa trawat,cet kêt bi têklupês.slimut kêboa ngêi,kran coa nam.tapi uku coa namên janoka bilik luyên kuni o beda,uku minoi gacang nêberes ipê dê perlu nêberes."
emot-train-2522,"Lom lg negara ga transparan soal informasi. Jadi bikin njlimet ae hidup orang2 misqin macam aku nih kan. Mau jurnal berbayar pun harus dihack dulu jurnalnya. Kan jadi berbuat jahat adek, bang!","Ipê igai Negara coa transparan masalh informasi, jijai mênêa rumit bae idup tun peset awêi uku yo. Lok brita mngasên kulo harus nêhack kilêak britanê.kan ija mênêa kidek suak, bang!"
emot-train-3261,"Hanya modal walikota Solo,bgmn mungkin bs menaklukkan belantara Jkrta.Dan disusul bs menaklukkan Nusantara.Dia sendirian?.Tanpa dukungan TAIPAN,dan media sosial,Mustahil.Konsekwensi:dikomando taipan. [URL]","Cuma modal walikota Solo,ati tau nam mnaklukkan Jakarta,tamêak iga Mnaklukkan Nusantara,si mnyu ang?.coa pakêi dukungan Taipan,ngen media sosial,mustahil.Konsekwensinê:nritêak Taipan. [URL] "
indolem-test-693,"kamar mandi nya kurang bgs, air nya kecil... wifi tidak ad,banyak tikus...","Kamar mêndainê ku ang baês,biyoanê titik..wifi coa si,dau tikus..."
